Issue Id,Project Key,Issue Type,Summary,Epic Name,Description,Priority,Status,Reporter,Assignee,Labels,Components,Fix Version/s,Affects Version/s,Sprint,Story Points,Created,Due Date,Parent Id,Epic Link
6ec34914,FM,Epic,Futurematic — Search,Futurematic — Search,"Epic to deliver futurematic — search across Futurematic.
Includes discovery, design, implementation and rollout.",Medium,In Progress,alice@example.com,,backend jira migration,Studio,0.9.0,1.1.0,,,2025-01-29,2025-02-06,,
1b0ab6bf,FM,Story,Futurematic — Integrate Figma,,User story: Futurematic — Integrate Figma. Aligns with epic 'Futurematic — Search'.,Low,Done,bob@example.com,dev.cara@example.com,backend prototype,,1.1.0,,,1,2025-04-25,2025-05-19,,6ec34914
16ce6675,FM,Task,Task — API wiring,,Task under story 'Futurematic — Integrate Figma'.,Highest,In Review,chloe@example.com,dev.ben@example.com,figma,,,,Sprint 4,3,2025-05-22,2025-06-16,,6ec34914
54693764,FM,Sub-task,Sub-task — Refactor step,,Sub-task for 'Task — API wiring' within story 'Futurematic — Integrate Figma'.,Low,In Review,chloe@example.com,dev.anna@example.com,,Dot,,,,,2025-04-05,2025-05-04,16ce6675,6ec34914
51b3c81a,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — API wiring' within story 'Futurematic — Integrate Figma'.,Lowest,In Progress,alice@example.com,dev.cara@example.com,,Admin,,,Sprint 4,,2025-02-26,2025-03-25,16ce6675,6ec34914
6440df62,FM,Task,Task — Error handling,,Task under story 'Futurematic — Integrate Figma'.,Medium,In Progress,alice@example.com,dev.emma@example.com,docs mcp prototype,,,,,1,2025-04-28,2025-05-14,,6ec34914
47fbc0c7,FM,Sub-task,Sub-task — Refactor step,,Sub-task for 'Task — Error handling' within story 'Futurematic — Integrate Figma'.,Highest,To Do,bob@example.com,dev.dan@example.com,,Studio,,,,,2025-06-24,2025-07-28,6440df62,6ec34914
0bacf1dc,FM,Story,Futurematic — Refactor OpenAPI,,User story: Futurematic — Refactor OpenAPI. Aligns with epic 'Futurematic — Search'.,Medium,Done,alice@example.com,dev.dan@example.com,,Dot,,,Sprint 2,1,2025-07-16,2025-08-13,,6ec34914
86fdde45,FM,Task,Task — Perf pass,,Task under story 'Futurematic — Refactor OpenAPI'.,Lowest,In Review,bob@example.com,dev.anna@example.com,,Materials,,,,1,2025-07-19,2025-08-28,,6ec34914
d51a06fe,FM,Sub-task,Sub-task — Refactor step,,Sub-task for 'Task — Perf pass' within story 'Futurematic — Refactor OpenAPI'.,Highest,In Progress,bob@example.com,,,,,,,,2025-06-18,2025-07-25,86fdde45,6ec34914
260a92f3,FM,Story,Futurematic — Harden Filesystem,,User story: Futurematic — Harden Filesystem. Aligns with epic 'Futurematic — Search'.,Lowest,In Progress,alice@example.com,dev.anna@example.com,mcp migration security,Connections,0.9.0,,Sprint 1,5,2025-04-23,2025-06-02,,6ec34914
fde8645d,FM,Task,Task — Error handling,,Task under story 'Futurematic — Harden Filesystem'.,Highest,In Progress,chloe@example.com,dev.emma@example.com,ado,Gateway,,,Sprint 3,2,2025-05-05,2025-05-25,,6ec34914
90b0e0f3,FM,Task,Task — Error handling,,Task under story 'Futurematic — Harden Filesystem'.,Lowest,Done,chloe@example.com,dev.cara@example.com,security,UI,1.0.0,,Sprint 4,1,2025-06-17,2025-06-30,,6ec34914
7340356b,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — Error handling' within story 'Futurematic — Harden Filesystem'.,Highest,To Do,alice@example.com,dev.ben@example.com,,Studio,,,,,2025-01-26,2025-02-05,90b0e0f3,6ec34914
14c649c9,FM,Sub-task,Sub-task — Test step,,Sub-task for 'Task — Error handling' within story 'Futurematic — Harden Filesystem'.,Medium,Done,chloe@example.com,dev.emma@example.com,performance security,Studio,,,,,2025-07-20,2025-08-25,90b0e0f3,6ec34914
8b569a61,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — Error handling' within story 'Futurematic — Harden Filesystem'.,Highest,In Progress,alice@example.com,dev.emma@example.com,backend,Materials,,,Sprint 2,,2025-01-13,2025-02-19,90b0e0f3,6ec34914
5b07652e,FM,Story,Futurematic — Implement Studio Panels,,User story: Futurematic — Implement Studio Panels. Aligns with epic 'Futurematic — Search'.,Highest,In Review,bob@example.com,dev.ben@example.com,security ux,Workflows,0.9.0,,Sprint 1,13,2025-01-21,2025-02-23,,6ec34914
e7238b37,FM,Task,Task — Perf pass,,Task under story 'Futurematic — Implement Studio Panels'.,Medium,To Do,alice@example.com,dev.cara@example.com,,UI,1.1.0,,,1,2025-03-09,2025-03-24,,6ec34914
0c0e6677,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — Perf pass' within story 'Futurematic — Implement Studio Panels'.,Medium,In Review,chloe@example.com,dev.ben@example.com,,Workflows,,,,,2025-01-28,2025-02-13,e7238b37,6ec34914
cca5b096,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — Perf pass' within story 'Futurematic — Implement Studio Panels'.,Medium,To Do,alice@example.com,dev.cara@example.com,jira performance ux,Gateway,,,Sprint 1,,2025-01-24,2025-02-27,e7238b37,6ec34914
a62d801c,FM,Story,Futurematic — Harden GitHub,,User story: Futurematic — Harden GitHub. Aligns with epic 'Futurematic — Search'.,Highest,In Progress,bob@example.com,dev.ben@example.com,,,,1.1.0,,3,2025-05-20,2025-05-29,,6ec34914
42176fab,FM,Task,Task — UI polish,,Task under story 'Futurematic — Harden GitHub'.,Low,Done,alice@example.com,dev.ben@example.com,,Materials,1.1.0,,,1,2025-03-02,2025-03-19,,6ec34914
83006027,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — UI polish' within story 'Futurematic — Harden GitHub'.,Low,In Progress,alice@example.com,dev.ben@example.com,,Workflows,,,,,2025-03-31,2025-04-26,42176fab,6ec34914
b5861d24,FM,Task,Task — Telemetry,,Task under story 'Futurematic — Harden GitHub'.,Lowest,To Do,bob@example.com,dev.ben@example.com,backend frontend,Admin,1.0.0,,Sprint 1,3,2025-05-18,2025-06-15,,6ec34914
a3b98632,FM,Sub-task,Sub-task — Test step,,Sub-task for 'Task — Telemetry' within story 'Futurematic — Harden GitHub'.,Lowest,In Progress,bob@example.com,dev.dan@example.com,api mcp prototype,,,,Sprint 3,,2025-01-12,2025-02-15,b5861d24,6ec34914
7a078c42,FM,Task,Task — Error handling,,Task under story 'Futurematic — Harden GitHub'.,High,In Review,chloe@example.com,dev.ben@example.com,,Workflows,0.9.0,,Sprint 2,3,2025-04-15,2025-05-12,,6ec34914
e869de63,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Error handling' within story 'Futurematic — Harden GitHub'.,Low,Done,chloe@example.com,dev.ben@example.com,,Admin,,,,,2025-04-24,2025-05-29,7a078c42,6ec34914
36c251ad,FM,Sub-task,Sub-task — Refactor step,,Sub-task for 'Task — Error handling' within story 'Futurematic — Harden GitHub'.,Lowest,To Do,alice@example.com,dev.dan@example.com,ops,,,,Sprint 4,,2025-02-20,2025-03-08,7a078c42,6ec34914
b724a5f9,FM,Story,Futurematic — Design GitHub,,User story: Futurematic — Design GitHub. Aligns with epic 'Futurematic — Search'.,High,In Progress,alice@example.com,dev.emma@example.com,backend github security,LLM Mesh,,,,1,2025-06-17,2025-06-24,,6ec34914
055483eb,FM,Task,Task — Docs,,Task under story 'Futurematic — Design GitHub'.,High,In Review,alice@example.com,dev.cara@example.com,figma ops security,Connections,0.9.0,,,1,2025-02-10,2025-03-19,,6ec34914
7639ac1d,FM,Sub-task,Sub-task — Refactor step,,Sub-task for 'Task — Docs' within story 'Futurematic — Design GitHub'.,Low,In Progress,alice@example.com,dev.dan@example.com,docs frontend ops,Gateway,,,,,2025-03-01,2025-04-01,055483eb,6ec34914
be481ec3,FM,Task,Task — Telemetry,,Task under story 'Futurematic — Design GitHub'.,High,To Do,bob@example.com,dev.cara@example.com,,Materials,1.0.0,,Sprint 1,3,2025-05-28,2025-06-28,,6ec34914
61d35cec,FM,Sub-task,Sub-task — Refactor step,,Sub-task for 'Task — Telemetry' within story 'Futurematic — Design GitHub'.,Highest,To Do,bob@example.com,dev.emma@example.com,,,,,Sprint 2,,2025-04-30,2025-05-15,be481ec3,6ec34914
79c865dc,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Telemetry' within story 'Futurematic — Design GitHub'.,High,In Review,bob@example.com,dev.dan@example.com,github ux,,,,,,2025-03-25,2025-04-14,be481ec3,6ec34914
07821e6c,FM,Sub-task,Sub-task — Test step,,Sub-task for 'Task — Telemetry' within story 'Futurematic — Design GitHub'.,Lowest,To Do,alice@example.com,dev.ben@example.com,performance prototype security,Connections,,,Sprint 2,,2025-02-27,2025-03-10,be481ec3,6ec34914
5d7dd5ee,FM,Task,Task — Write tests,,Task under story 'Futurematic — Design GitHub'.,Low,To Do,alice@example.com,dev.cara@example.com,prototype,Gateway,1.1.0,,Sprint 2,2,2025-07-16,2025-08-15,,6ec34914
2eaea836,FM,Story,Futurematic — Document Studio Panels,,User story: Futurematic — Document Studio Panels. Aligns with epic 'Futurematic — Search'.,Highest,Done,chloe@example.com,dev.cara@example.com,api docs frontend,Connections,,,Sprint 4,3,2025-07-20,2025-07-29,,6ec34914
53404a43,FM,Task,Task — Error handling,,Task under story 'Futurematic — Document Studio Panels'.,High,Done,chloe@example.com,dev.emma@example.com,,,,,Sprint 4,2,2025-03-11,2025-04-17,,6ec34914
a72cbab8,FM,Sub-task,Sub-task — Refactor step,,Sub-task for 'Task — Error handling' within story 'Futurematic — Document Studio Panels'.,Medium,In Review,bob@example.com,,migration prototype ux,Materials,,,Sprint 4,,2025-05-05,2025-05-25,53404a43,6ec34914
6b415c21,FM,Sub-task,Sub-task — Refactor step,,Sub-task for 'Task — Error handling' within story 'Futurematic — Document Studio Panels'.,High,Done,alice@example.com,dev.anna@example.com,jira security,Admin,,,Sprint 3,,2025-06-26,2025-08-02,53404a43,6ec34914
9be6e697,FM,Task,Task — Error handling,,Task under story 'Futurematic — Document Studio Panels'.,Medium,Done,bob@example.com,dev.cara@example.com,jira,Connections,1.1.0,,,2,2025-05-21,2025-06-18,,6ec34914
939f7184,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — Error handling' within story 'Futurematic — Document Studio Panels'.,Low,In Review,alice@example.com,dev.cara@example.com,,UI,,,,,2025-02-19,2025-03-16,9be6e697,6ec34914
ff2d0ff3,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Error handling' within story 'Futurematic — Document Studio Panels'.,Highest,In Review,bob@example.com,dev.dan@example.com,frontend,LLM Mesh,,,Sprint 1,,2025-01-27,2025-02-03,9be6e697,6ec34914
808063c9,FM,Task,Task — API wiring,,Task under story 'Futurematic — Document Studio Panels'.,Low,In Progress,chloe@example.com,dev.cara@example.com,backend,Gateway,1.1.0,,Sprint 4,2,2025-05-28,2025-06-07,,6ec34914
1a6c3a93,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — API wiring' within story 'Futurematic — Document Studio Panels'.,Highest,To Do,chloe@example.com,,figma,Connections,,,Sprint 2,,2025-04-20,2025-05-16,808063c9,6ec34914
0b994e8d,FM,Sub-task,Sub-task — Refactor step,,Sub-task for 'Task — API wiring' within story 'Futurematic — Document Studio Panels'.,High,Done,bob@example.com,dev.anna@example.com,jira ops ux,,,,Sprint 2,,2025-01-01,2025-02-03,808063c9,6ec34914
78ab80b3,FM,Story,Futurematic — Refactor Figma,,User story: Futurematic — Refactor Figma. Aligns with epic 'Futurematic — Search'.,Low,To Do,alice@example.com,dev.ben@example.com,,LLM Mesh,1.1.0,,Sprint 4,3,2025-06-15,2025-07-01,,6ec34914
3da742b0,FM,Task,Task — API wiring,,Task under story 'Futurematic — Refactor Figma'.,Highest,In Review,alice@example.com,dev.anna@example.com,github mcp prototype,,,,,1,2025-04-21,2025-05-18,,6ec34914
3117e07a,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — API wiring' within story 'Futurematic — Refactor Figma'.,Medium,In Progress,chloe@example.com,dev.dan@example.com,backend ops,Admin,,,,,2025-06-16,2025-07-21,3da742b0,6ec34914
a33dd874,FM,Sub-task,Sub-task — Test step,,Sub-task for 'Task — API wiring' within story 'Futurematic — Refactor Figma'.,Medium,Done,chloe@example.com,dev.anna@example.com,api ux,,,,,,2025-04-16,2025-05-24,3da742b0,6ec34914
ff832129,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — API wiring' within story 'Futurematic — Refactor Figma'.,Lowest,In Progress,chloe@example.com,dev.cara@example.com,,Materials,,,,,2025-04-29,2025-06-01,3da742b0,6ec34914
b32e6262,FM,Task,Task — Docs,,Task under story 'Futurematic — Refactor Figma'.,Lowest,To Do,chloe@example.com,dev.emma@example.com,migration performance ux,Gateway,0.9.0,,Sprint 1,1,2025-06-28,2025-08-05,,6ec34914
d8c9b910,FM,Sub-task,Sub-task — Test step,,Sub-task for 'Task — Docs' within story 'Futurematic — Refactor Figma'.,High,Done,bob@example.com,dev.ben@example.com,docs,,,,,,2025-05-11,2025-06-04,b32e6262,6ec34914
2cd13505,FM,Sub-task,Sub-task — Test step,,Sub-task for 'Task — Docs' within story 'Futurematic — Refactor Figma'.,Medium,In Review,alice@example.com,dev.cara@example.com,,LLM Mesh,,,Sprint 3,,2025-07-17,2025-08-19,b32e6262,6ec34914
af8e19f2,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — Docs' within story 'Futurematic — Refactor Figma'.,Medium,In Progress,chloe@example.com,dev.ben@example.com,,Studio,,,,,2025-04-07,2025-05-13,b32e6262,6ec34914
